_id,cam_id,entry_count,timestamp
ObjectId(5ba9b9fef15cbb1dcd8c0a53),170,2,2018-09-25 04:30:54
ObjectId(5ba9ba17f15cbb1dcd8c0a59),179,2,2018-09-25 04:31:19
ObjectId(5ba9ba19f15cbb1dcd8c0a5a),180,3,2018-09-25 04:31:21
ObjectId(5ba9ba48f15cbb1dcd8c0a6c),201,1,2018-09-25 04:32:08
ObjectId(5ba9ba4bf15cbb1dcd8c0a6d),202,1,2018-09-25 04:32:11
ObjectId(5ba9ba50f15cbb1dcd8c0a6f),204,2,2018-09-25 04:32:16
ObjectId(5ba9bbebf15cbb1dcd8c0b18),169,1,2018-09-25 04:39:07
ObjectId(5ba9bc05f15cbb1dcd8c0b1f),179,1,2018-09-25 04:39:33
ObjectId(5ba9bc3af15cbb1dcd8c0b33),202,2,2018-09-25 04:40:26
ObjectId(5ba9bc46f15cbb1dcd8c0b38),207,1,2018-09-25 04:40:38
ObjectId(5ba9bcfbf15cbb1dcd8c0b82),179,7,2018-09-25 04:43:39
ObjectId(5ba9bcfdf15cbb1dcd8c0b83),180,1,2018-09-25 04:43:41
ObjectId(5ba9bd30f15cbb1dcd8c0b96),202,1,2018-09-25 04:44:32
ObjectId(5ba9bdd8f15cbb1dcd8c0bdf),170,2,2018-09-25 04:47:20
ObjectId(5ba9bdf1f15cbb1dcd8c0be5),179,2,2018-09-25 04:47:45
ObjectId(5ba9bdf3f15cbb1dcd8c0be6),180,1,2018-09-25 04:47:47
ObjectId(5ba9bee7f15cbb1dcd8c0c48),179,2,2018-09-25 04:51:51
ObjectId(5ba9beeaf15cbb1dcd8c0c49),180,2,2018-09-25 04:51:54
ObjectId(5ba9bf1bf15cbb1dcd8c0c5b),201,6,2018-09-25 04:52:43
ObjectId(5ba9bf24f15cbb1dcd8c0c5e),204,2,2018-09-25 04:52:52
ObjectId(5ba9bf31f15cbb1dcd8c0c63),209,1,2018-09-25 04:53:05
ObjectId(5ba9c0d9f15cbb1dcd8c0d0e),179,1,2018-09-25 05:00:09
ObjectId(5ba9c0dbf15cbb1dcd8c0d0f),180,2,2018-09-25 05:00:11
ObjectId(5ba9c10bf15cbb1dcd8c0d21),201,2,2018-09-25 05:00:59
ObjectId(5ba9c10df15cbb1dcd8c0d22),202,1,2018-09-25 05:01:01
ObjectId(5ba9c2c8f15cbb1dcd8c0dd4),179,1,2018-09-25 05:08:24
ObjectId(5ba9c2caf15cbb1dcd8c0dd5),180,1,2018-09-25 05:08:26
ObjectId(5ba9c2faf15cbb1dcd8c0de7),201,2,2018-09-25 05:09:14
ObjectId(5ba9c302f15cbb1dcd8c0dea),204,2,2018-09-25 05:09:22
ObjectId(5ba9c3c0f15cbb1dcd8c0e37),179,1,2018-09-25 05:12:32
ObjectId(5ba9c3c2f15cbb1dcd8c0e38),180,2,2018-09-25 05:12:34
ObjectId(5ba9c3f3f15cbb1dcd8c0e4a),201,3,2018-09-25 05:13:23
ObjectId(5ba9c407f15cbb1dcd8c0e52),209,1,2018-09-25 05:13:43
ObjectId(5ba9c4a0f15cbb1dcd8c0e94),170,1,2018-09-25 05:16:16
ObjectId(5ba9c4b8f15cbb1dcd8c0e9a),179,1,2018-09-25 05:16:40
ObjectId(5ba9c4eef15cbb1dcd8c0eae),202,2,2018-09-25 05:17:34
ObjectId(5ba9c4f3f15cbb1dcd8c0eb0),204,2,2018-09-25 05:17:39
ObjectId(5ba9c4f6f15cbb1dcd8c0eb1),205,1,2018-09-25 05:17:42
ObjectId(5ba9c5fbf15cbb1dcd8c0f19),210,1,2018-09-25 05:22:03
ObjectId(5ba9c696f15cbb1dcd8c0f5b),172,1,2018-09-25 05:24:38
ObjectId(5ba9c6def15cbb1dcd8c0f74),202,1,2018-09-25 05:25:50
ObjectId(5ba9c89af15cbb1dcd8c1026),179,1,2018-09-25 05:33:14
ObjectId(5ba9c8cdf15cbb1dcd8c1039),201,1,2018-09-25 05:34:05
ObjectId(5ba9c8d0f15cbb1dcd8c103a),202,3,2018-09-25 05:34:08
