_id,cam_id,entry_count,timestamp
ObjectId(5b9f4e0df15cbb39c99d68b3),195,1,2018-09-17 06:47:41
ObjectId(5b9f4fb1f15cbb39c99d6952),184,2,2018-09-17 06:54:41
ObjectId(5b9f4fc9f15cbb39c99d695b),195,2,2018-09-17 06:55:05
ObjectId(5b9f516bf15cbb39c99d69fa),184,1,2018-09-17 07:02:03
ObjectId(5b9f517bf15cbb39c99d69ff),191,1,2018-09-17 07:02:19
ObjectId(5b9f517df15cbb39c99d6a00),192,1,2018-09-17 07:02:21
ObjectId(5b9f5183f15cbb39c99d6a03),195,2,2018-09-17 07:02:27
ObjectId(5b9f5334f15cbb39c99d6aa6),190,2,2018-09-17 07:09:40
ObjectId(5b9f54f5f15cbb39c99d6b50),192,1,2018-09-17 07:17:09
ObjectId(5b9f56a4f15cbb39c99d6bf3),185,2,2018-09-17 07:24:20
ObjectId(5b9f5861f15cbb39c99d6c9b),185,1,2018-09-17 07:31:45
ObjectId(5b9f5ae0f15cbb5683eefb97),184,1,2018-09-17 07:42:24
ObjectId(5b9f5af1f15cbb5683eefb9c),191,2,2018-09-17 07:42:41
ObjectId(5b9f66c3f15cbb0d6b66d4e3),184,1,2018-09-17 08:33:07
ObjectId(5b9f6891f15cbb0d6b66d58f),190,1,2018-09-17 08:40:49
ObjectId(5b9f689bf15cbb0d6b66d594),195,2,2018-09-17 08:40:59
ObjectId(5b9f6dc7f15cbb0d6b66d784),185,1,2018-09-17 09:03:03
ObjectId(5b9f6dd5f15cbb0d6b66d788),191,2,2018-09-17 09:03:17
ObjectId(5b9f6f96f15cbb0d6b66d830),191,2,2018-09-17 09:10:46
ObjectId(5b9f755cf15cbb3902451ae6),191,1,2018-09-17 09:35:24
ObjectId(5b9f78dcf15cbb3902451c36),191,1,2018-09-17 09:50:20
ObjectId(5b9f7a8cf15cbb3902451cd9),184,2,2018-09-17 09:57:32
ObjectId(5b9f7c5bf15cbb3902451d85),190,1,2018-09-17 10:05:15
ObjectId(5b9f7c65f15cbb3902451d8a),195,1,2018-09-17 10:05:25
ObjectId(5b9f7e09f15cbb3902451e29),184,2,2018-09-17 10:12:25
ObjectId(5b9f7fd6f15cbb3902451ed6),191,1,2018-09-17 10:20:06
ObjectId(5b9f8184f15cbb3902451f79),184,2,2018-09-17 10:27:16
ObjectId(5b9f8186f15cbb3902451f7a),185,1,2018-09-17 10:27:18
ObjectId(5b9f8194f15cbb3902451f7e),191,1,2018-09-17 10:27:32
ObjectId(5b9f8342f15cbb3902452021),184,1,2018-09-17 10:34:42
ObjectId(5b9f8344f15cbb3902452022),185,1,2018-09-17 10:34:44
ObjectId(5b9f86d3f15cbb390245217a),195,2,2018-09-17 10:49:55
ObjectId(5b9f8888f15cbb390245221e),191,1,2018-09-17 10:57:12
ObjectId(5b9f8890f15cbb3902452222),195,1,2018-09-17 10:57:20
ObjectId(5b9f8a34f15cbb39024522c1),184,1,2018-09-17 11:04:20
ObjectId(5b9f8a36f15cbb39024522c2),185,1,2018-09-17 11:04:22
ObjectId(5b9f8c10f15cbb390245236f),192,1,2018-09-17 11:12:16
